Year,Day,Temperature,Score
2010,55,288.12,12.094285714285727
2009,43,287.25,11.175714285714289
2007,62,287.16,11.1014285714286
1993,36,287.25,10.989999999999993
1987,361,286.33,10.86714285714284
2009,76,288.98,10.731428571428589
1989,61,286.0,10.442857142857147
1990,49,284.66,10.321428571428596
1987,40,284.79,10.19714285714288
2006,121,278.6,9.927142857142835
1981,311,275.41,9.915714285714264
1981,310,277.55,9.879999999999987
2011,321,289.8,9.807142857142862
2010,54,286.45,9.659999999999984
2002,14,284.77,9.652857142857126
1987,115,278.36,9.599999999999982
2010,19,284.5,9.557142857142862
1987,360,284.88,9.524285714285709
1985,343,272.36,9.511428571428553
1998,109,291.72,9.358571428571452
2000,5,285.39,9.329999999999993
2001,109,276.67,9.328571428571422
1991,350,285.88,9.245714285714289
1979,352,285.83,9.172857142857131
1987,359,284.83,9.125714285714269
1981,312,277.16,9.12428571428569
2007,361,285.58,9.10571428571427
1999,87,273.37,9.039999999999996
2010,78,287.05,8.984285714285729
2006,359,284.5,8.938571428571427
2004,337,288.35,8.918571428571445
1987,358,285.53,8.881428571428533
2002,308,279.15,8.87000000000003
1982,10,282.3,8.865714285714287
1987,362,284.96,8.842857142857115
2004,51,286.55,8.771428571428592
1998,101,291.69,8.711428571428574
2007,35,282.45,8.668571428571413
2005,51,271.95,8.65142857142858
2013,31,283.07,8.637142857142853
2003,127,278.93,8.60857142857142
2004,87,287.58,8.52571428571427
1996,13,283.58,8.517142857142849
1996,43,283.91,8.497142857142885
1990,332,288.0,8.49714285714286
1990,100,289.48,8.46857142857145
1999,76,287.42,8.440000000000014
1984,355,271.28,8.405714285714314
1996,316,278.23,8.402857142857117
2009,42,282.23,8.394285714285738
2013,120,278.95,8.375714285714293
1988,13,282.31,8.371428571428583
2011,54,284.9,8.331428571428546
1996,109,277.0,8.31857142857144
1984,95,275.98,8.30285714285712
1999,47,283.05,8.251428571428578
1987,41,283.27,8.251428571428553
1998,49,283.72,8.248571428571447
2007,61,283.35,8.18428571428574
1983,6,282.63,8.177142857142858
2013,54,270.85,8.168571428571406
1988,20,283.33,8.164285714285702
1982,332,287.81,8.155714285714282
2008,71,285.7,8.152857142857126
1979,7,283.36,8.131428571428582
1990,24,267.61,8.12428571428569
1979,40,281.66,8.102857142857179
2006,109,278.56,8.062857142857142
2008,112,289.52,8.008571428571413
1994,50,283.38,7.988571428571431
1987,102,275.72,7.949999999999981
1995,74,285.21,7.937142857142841
1997,352,285.2,7.929999999999991
1999,24,281.82,7.912857142857125
2010,146,282.22,7.911428571428538
2005,126,280.48,7.8828571428571275
2011,331,288.82,7.8685714285714345
2002,305,280.43,7.857142857142849
2009,77,285.86,7.852857142857155
2011,53,284.32,7.847142857142858
2013,108,277.07,7.844285714285718
1993,355,272.48,7.807142857142829
1979,51,281.75,7.801428571428581
1990,53,282.93,7.784285714285732
1987,301,292.93,7.780000000000006
2008,81,286.37,7.777142857142865
2007,360,284.16,7.768571428571469
1990,52,283.33,7.755714285714264
1997,283,284.64,7.735714285714307
2010,38,282.35,7.734285714285728
1984,362,271.18,7.728571428571423
2012,88,285.32,7.727142857142853
1992,58,285.88,7.724285714285705
1985,342,273.33,7.7057142857142935
1985,363,283.98,7.7028571428571615
1998,318,290.25,7.679999999999999
2002,307,279.07,7.65714285714286
1996,110,280.16,7.6371428571428295
1989,18,283.48,7.63428571428573
1997,340,286.87,7.6228571428571446
1991,53,269.38,7.614285714285716
1979,24,281.05,7.575714285714306
1981,360,282.91,7.570000000000026
2011,75,272.8,7.557142857142845
1984,357,270.11,7.5485714285714165
1982,3,283.28,7.53714285714284
2004,74,286.7,7.484285714285696
2011,322,289.05,7.48142857142858
1980,26,282.23,7.4557142857143095
1987,39,282.43,7.445714285714303
2010,73,286.0,7.428571428571421
2010,26,281.5,7.417142857142843
2009,130,291.08,7.417142857142843
1998,77,286.27,7.415714285714273
1995,311,278.28,7.400000000000034
2013,55,271.07,7.391428571428572
2012,359,270.37,7.3799999999999955
2006,71,271.73,7.3785714285714095
1989,58,284.0,7.34999999999999
1980,27,281.16,7.345714285714296
2013,121,279.35,7.318571428571415
1985,39,281.28,7.314285714285696
1985,83,285.25,7.309999999999994
1991,143,295.23,7.30428571428573
1994,349,272.21,7.304285714285721
2013,65,284.37,7.297142857142863
1984,361,271.21,7.2900000000000205
1991,349,284.33,7.284285714285716
2011,29,269.8,7.258571428571413
1999,75,286.14,7.251428571428562
2002,300,281.6,7.245714285714265
2008,54,272.8,7.239999999999985
2002,103,290.6,7.23000000000001
1983,60,282.73,7.224285714285737
1981,56,268.73,7.215714285714268
1981,359,282.58,7.201428571428551
2011,305,292.35,7.190000000000022
1997,328,289.1,7.184285714285742
2010,324,287.93,7.170000000000008
2000,58,272.3,7.164285714285711
2011,141,283.45,7.161428571428571
1991,356,284.96,7.155714285714266
2008,318,288.5,7.152857142857142
1999,90,287.02,7.151428571428555
2009,75,285.23,7.147142857142877
1997,303,279.9,7.145714285714299
2013,105,288.55,7.134285714285722
2010,18,281.95,7.1342857142857055
1991,52,270.16,7.1342857142856895
1979,6,281.4,7.122857142857129
1996,125,280.53,7.1142857142857485
1987,22,280.74,7.112857142857154
2002,91,287.8,7.092857142857156
1980,103,276.91,7.085714285714265
2001,111,280.45,7.084285714285719
2002,67,283.63,7.055714285714275
1986,351,283.64,7.054285714285705
1996,315,280.03,7.050000000000019
2006,122,282.03,7.0428571428571685
2004,343,284.82,7.029999999999997
1989,46,281.3,7.025714285714295
2004,68,286.13,7.025714285714287
2012,114,290.72,7.021428571428593
1984,36,267.86,7.02142857142856
2000,342,285.42,6.991428571428579
2004,336,286.95,6.981428571428564
1984,311,289.61,6.977142857142861
1998,121,293.22,6.974285714285737
2002,306,280.3,6.964285714285698
2013,67,285.37,6.9600000000000035
2005,83,275.25,6.951428571428567
2008,350,284.05,6.945714285714295
1982,49,282.08,6.94142857142856
1981,71,284.15,6.941428571428552
2008,337,287.08,6.93999999999999
2002,72,286.53,6.938571428571403
1981,313,279.53,6.935714285714304
2009,29,282.0,6.929999999999999
2013,126,280.68,6.917142857142835
1997,284,284.89,6.908571428571447
2002,343,273.05,6.905714285714274
1993,35,282.66,6.904285714285736
2009,305,280.05,6.904285714285704
2009,71,283.4,6.902857142857117
1994,49,281.36,6.890000000000002
1984,97,277.15,6.887142857142862
2009,344,286.2,6.8857142857142595
2003,68,273.88,6.884285714285714
2013,99,278.4,6.880000000000028
1997,343,274.1,6.878571428571401
1996,364,283.68,6.8757142857142854
2003,318,289.38,6.875714285714277
1990,9,281.78,6.872857142857113
1996,333,275.73,6.86857142857141
1984,358,271.73,6.857142857142833
2003,119,280.37,6.854285714285709
1997,112,279.97,6.837142857142827
2013,316,279.72,6.835714285714273
2006,105,279.03,6.834285714285743
2003,98,277.28,6.822857142857182
1983,27,280.55,6.822857142857141
1990,342,286.81,6.820000000000009
1996,101,277.33,6.814285714285721
1997,58,284.14,6.814285714285696
2012,87,284.1,6.80714285714287
1997,339,285.1,6.8057142857143
2013,109,277.62,6.801428571428565
1996,309,280.58,6.800000000000027
2005,345,274.03,6.798571428571457
2006,33,268.75,6.798571428571425
1987,357,283.13,6.7899999999999965
1992,329,275.56,6.7885714285714345
2010,96,275.45,6.778571428571435
2010,335,288.32,6.775714285714279
1979,353,283.73,6.764285714285734
2012,57,270.3,6.761428571428561
1983,42,269.96,6.757142857142883
1997,332,287.55,6.754285714285727
2008,311,281.13,6.75142857142857
1979,25,280.63,6.751428571428562
2004,313,292.72,6.744285714285736
2001,78,284.8,6.738571428571439
2008,339,273.98,6.738571428571414
1999,43,269.97,6.738571428571406
1979,8,282.23,6.737142857142869
1992,330,275.61,6.732857142857126
2012,56,271.0,6.719999999999994
2012,96,275.52,6.718571428571441
1983,28,280.33,6.717142857142846
1988,12,280.33,6.7114285714285575
2010,338,286.45,6.7071428571428475
1988,209,292.53,6.7042857142857475
1987,101,276.11,6.699999999999989
1983,95,288.28,6.694285714285684
1990,25,269.38,6.688571428571428
2010,298,281.37,6.681428571428577
1996,340,275.48,6.664285714285695
1980,337,275.3,6.654285714285704
2007,262,300.88,6.652857142857142
1998,352,283.27,6.645714285714267
1980,311,279.23,6.641428571428556
2011,123,281.65,6.640000000000019
1983,43,269.63,6.637142857142854
1999,326,289.3,6.6314285714285734
1990,328,287.36,6.6200000000000125
2003,210,292.78,6.6185714285714585
2001,13,269.75,6.6171428571428565
1996,339,274.55,6.617142857142848
2011,96,287.17,6.6157142857143105
2006,95,277.8,6.605714285714279
1998,110,291.12,6.602857142857147
2008,43,272.13,6.601428571428577
1995,341,274.43,6.59285714285714
1996,44,281.96,6.591428571428561
1994,95,289.28,6.589999999999975
2001,139,294.14,6.588571428571405
1981,45,280.3,6.587142857142867
2007,143,294.3,6.587142857142867
2010,104,277.1,6.585714285714265
2002,51,281.93,6.584285714285727
